Reporter ISO3,Reporter Name,Sector Description,Skilled Direct LVAX (US$ Mil),Unskilled Direct LVAX (US$ Mil),Skilled labor share of output (%),Unskilled labor share of output (%),Skilled direct labor share of value added (%),Unskilled direct labor share of value added (%),Skilled labor share of value added fwd (%),Unskilled labor share of value added fwd (%),Skilled labor share of value added bwd (%),Unskilled labor share of value added bwd (%),Skilled LVAX share bwd (%),Unskilled LVAX share bwd (%),Skilled revealed intensity index fwd (%),Unskilled revealed intensity index fwd (%),Skilled revealed intensity index bwd (%),Unskilled revealed intensity index bwd (%),Gross exports (US$ Mil),Gross output (US$ Mil),Gross exports (%),Skilled Total LVAD bwd (US$ Mil),Unskilled Total LVAD bwd (US$ Mil),Skilled Total LVAX bwd (US$ Mil),Unskilled Total LVAX bwd (US$ Mil),Total LVAD bwd (US$ Mil),Total LVAX bwd (US$ Mil),Total LVAD fwd (US$ Mil),Total LVAX fwd (US$ Mil),Skilled Total LVAX fwd (US$ Mil),Unskilled Total LVAX fwd (US$ Mil),Total LVAX share bwd (%),Direct LVAX (US$ Mil),Skilled Direct LVAD (US$ Mil),Unskilled Direct LVAD (US$ Mil)
CHN,China,Mineral Products nec,852.210022,4945.100098,2.920000069,9.430000186,0.240000011,0.769999996,0.219999999,0.719999988,0.310000009,0.669999979,7.511349272,33.03530261,25.33999979,55.44999838,31.51000142,62.33999729,36116.30859,734949.5625,1.889999956,2991.468506,13156.70508,2712.822083,11931.13184,16148.17358,14643.95392,90770.6651,14124.27945,2076.274117,12048.00534,40.54665188,5797.31012,939.75,5453.100098
CHN,China,Manufactures nec,1128.5,9224.400391,2.51000002,8.120000362,0.520000001,1.669999957,0.260000001,0.829999987,0.620000018,1.569999941,5.025191163,30.95287836,28.40999961,55.26999831,37.83999979,76.49000287,90890.9375,363011.0625,4.76000011,8431.234375,51933.32031,4567.443359,28133.36133,60364.55469,32700.80469,38612.79053,16248.12468,1771.07799,14477.04669,35.97806953,10352.90039,2083.100098,17028
CHN,China,Minerals nec,95.20500183,672.5700073,2.400000021,13.42999935,0.019999999,0.13,0.170000002,0.939999986,0.030000001,0.079999998,6.448904492,30.82882346,18.43000054,48.69000018,1.860000007,4.089999944,4350.352051,315313.0625,0.230000005,259.9329453,1242.619263,280.5500488,1341.162354,1502.552208,1621.712402,49912.10019,16503.80454,2046.475413,14457.32913,37.27772795,767.7750092,88.20800018,623.1500244
CHN,China,PubAdmin/Defence/Health/Educat,2634.199951,1719.900024,22.9399994,33.32999945,0.400000019,0.579999993,0.340000005,0.490000006,0.150000001,0.219999999,37.31902582,33.2929127,8.340000361,14.30999935,6.7900002,10.81999987,7640.398438,1224506.25,0.400000019,433802.8125,386993.1563,2851.322266,2543.711182,820795.9688,5395.033447,689117.8467,12379.16039,7489.377167,4889.783221,70.61193852,4354.099976,400770,261660
CHN,China,Other Private Services,4105.200195,5956.600098,16.79999977,11.02000028,1.140000019,0.749999983,3.550000116,2.329999954,0.490000006,0.419999985,15.58066821,29.50215957,13.18999976,14.58999962,4.190000147,5.350000039,29982.27612,1756906.125,1.569999941,93013.60156,176120.2656,4671.438965,8845.418945,269133.8672,13516.85791,488788.5315,87812.28258,35827.40028,51984.8823,45.08282778,10061.80029,81739,118600
CHN,China,Processed Foods,627.6099854,2996.5,1.740000024,5.60999997,0.139999995,0.469999993,0.150000001,0.490000006,0.270000007,0.899999961,4.437790774,43.42651675,8.439999819,18.53999943,7.220000029,17.74999946,36701.11898,831919.4375,1.920000091,17665.48828,172872.4844,1628.718872,15938.01758,190537.9727,17566.73645,61141.21055,9621.441996,1666.216243,7955.225753,47.86430752,3624.109985,6807.200195,32500
CHN,China,"Paper Products, Publishing",463.4400024,2526.5,2.820000052,9.120000154,0.109999999,0.37,0.179999997,0.579999993,0.150000001,0.359999994,7.418939468,35.47016035,10.19999981,23.05999994,8.659999818,18.3799997,17805.88477,329999.75,0.930000003,2185.130798,10447.13184,1321.007813,6315.775879,12632.26263,7636.783691,39421.63286,11421.422,1770.314505,9651.107497,42.88909982,2989.940002,766.5900269,4179.200195
CHN,China,Trade and Transport Services,5271.5,23223,15.21999985,11.94999963,3.060000017,2.400000021,4.100000113,3.220000118,1.370000001,1.439999975,9.083312475,37.96121063,15.80999941,32.22000003,9.23999995,20.32999992,88844.25684,1843374.25,4.65000011,43979.05469,183799.2188,8070.001465,33726.35547,227778.2734,41796.35693,500910.136,109468.017,20251.53125,89216.48578,47.0445231,28494.5,28728,126560
CHN,China,Textiles,3587.199951,22035,3.089999966,9.969999641,0.879999995,2.840000018,0.710000005,2.290000021,1.090000011,2.899999917,6.931951226,40.43784381,56.70999885,106.2899947,54.43000197,112.469995,125793.2891,514271.3125,6.589999795,8546.702148,49858.35938,8719.929443,50868.09375,58405.06152,59588.02319,67166.8695,44774.57126,6268.57741,38505.99385,47.36979503,25622.19995,3515.899902,21598
CHN,China,Transport Equipment,1719,9665.200195,2.280000038,7.349999994,0.419999985,1.350000035,0.270000007,0.870000012,0.659999996,1.449999958,7.250505039,31.57077,6.030000001,14.30999935,6.809999794,14.49999958,80920.77734,927373,4.239999875,34421.00781,149876.375,5867.165039,25547.3125,184297.3828,31414.47754,89280.43667,17045.68231,2573.881852,14471.80046,38.82127504,11384.2002,10085,56702
CHN,China,Wearing Apparel,2562.100098,18612,3.959999979,12.79000044,1.099999994,3.550000116,0.380000006,1.219999976,1.190000027,2.98999995,7.747504169,43.09908334,59.06000137,110.5900049,76.98000073,143.4800029,122433.8594,272859.1875,6.409999728,15138.20264,84214.25781,9485.568359,52767.87109,99352.46045,62253.43945,45712.2828,23820.7572,2882.346308,20938.41089,50.84658751,21174.1001,4088.899902,29704
